arrest_id,fir_id,case_id,suspect_id,arrest_datetime
ARR968072,FIR628050,CAS608698,PER127603,2024-03-31T16:52:33
ARR934620,FIR894979,CAS181089,PER559628,2021-01-21T13:59:33
ARR420146,FIR435049,CAS739104,PER847821,2024-05-18T19:40:33
ARR147912,FIR696284,CAS108334,PER893125,2022-02-03T07:45:33
ARR971838,FIR264792,CAS251543,PER426884,2016-11-02T17:12:33
ARR669563,FIR403749,CAS789477,PER151742,2020-06-03T08:12:33
ARR656848,FIR675851,CAS301128,PER262404,2017-04-24T02:48:33
ARR985106,FIR252165,CAS262996,PER289309,2023-01-25T06:52:33
ARR263097,FIR969487,CAS764031,PER580059,2020-10-06T10:01:33
ARR639664,FIR868742,CAS516187,PER164212,2021-02-24T06:54:33
ARR314532,FIR532219,CAS379060,PER652293,2025-12-20T12:09:33
ARR426518,FIR501818,CAS611041,PER544012,2020-07-08T09:11:33
ARR240815,FIR995206,CAS833281,PER492592,2021-01-08T09:34:33
ARR737749,FIR161869,CAS989201,PER514735,2017-11-27T13:08:33
ARR316878,FIR963385,CAS906563,PER106300,2019-03-08T05:25:33
ARR573213,FIR810505,CAS358781,PER327549,2019-06-01T09:25:33
ARR144624,FIR307455,CAS446474,PER352583,2021-06-25T02:57:33
ARR303163,FIR720898,CAS863963,PER735931,2021-11-06T12:26:33
ARR964414,FIR860546,CAS120988,PER338958,2023-08-08T16:56:33
ARR244694,FIR713506,CAS861608,PER449193,2017-03-28T03:59:33
ARR202820,FIR886890,CAS707466,PER269081,2018-01-30T12:56:33
ARR891117,FIR739630,CAS464143,PER916812,2018-09-04T21:41:33
ARR416064,FIR407391,CAS765159,PER586980,2024-08-31T22:11:33
ARR648607,FIR989753,CAS725821,PER440095,2021-04-11T05:38:33
ARR725230,FIR711982,CAS940568,PER970875,2023-02-10T12:21:33
ARR363078,FIR665444,CAS374187,PER479479,2023-03-30T21:45:33
ARR977561,FIR248187,CAS984230,PER494162,2021-04-09T22:17:33
ARR884385,FIR488836,CAS723962,PER539105,2023-08-22T00:04:33
ARR771100,FIR246020,CAS110239,PER265534,2025-07-19T19:19:33
ARR871559,FIR621817,CAS495113,PER628249,2024-07-21T18:00:33
