fir_id,case_id,complainant_id,registration_datetime,fir_number,police_station
FIR00001,CAS00001,PER00002,2026-01-24T20:40:57,MYS/2025/00001,Vijayanagar
FIR00002,CAS00002,PER00003,2026-01-25T20:40:57,DHA/2024/00002,Devaraja
FIR00003,CAS00003,PER00004,2026-01-26T20:40:57,DAK/2025/00003,Mangaluru East
FIR00004,CAS00004,PER00005,2026-01-27T20:40:57,BEL/2024/00004,Hubballi North
FIR00005,CAS00005,PER00006,2026-01-28T20:40:57,SHI/2025/00005,Belagavi Camp
FIR00006,CAS00006,PER00007,2026-01-29T20:40:57,KAL/2024/00006,Shivamogga Town
FIR00007,CAS00007,PER00008,2026-01-30T20:40:57,TUM/2025/00007,Udupi Town
FIR00008,CAS00008,PER00009,2026-01-31T20:40:57,UDU/2024/00008,Cubbon Park
FIR00009,CAS00009,PER00010,2026-02-01T20:40:57,KOD/2025/00009,Vijayanagar
FIR00010,CAS00010,PER00011,2026-02-02T20:40:57,BEN/2024/00010,Devaraja
FIR00011,CAS00011,PER00012,2026-02-03T20:40:57,MYS/2025/00011,Mangaluru East
FIR00012,CAS00012,PER00013,2026-02-04T20:40:57,DHA/2024/00012,Hubballi North
FIR00013,CAS00013,PER00014,2026-02-05T20:40:57,DAK/2025/00013,Belagavi Camp
FIR00014,CAS00014,PER00015,2026-02-06T20:40:57,BEL/2024/00014,Shivamogga Town
FIR00015,CAS00015,PER00016,2026-02-07T20:40:57,SHI/2025/00015,Udupi Town
FIR00016,CAS00016,PER00017,2026-02-08T20:40:57,KAL/2024/00016,Cubbon Park
FIR00017,CAS00017,PER00018,2026-02-09T20:40:57,TUM/2025/00017,Vijayanagar
FIR00018,CAS00018,PER00019,2026-02-10T20:40:57,UDU/2024/00018,Devaraja
FIR00019,CAS00019,PER00020,2026-02-11T20:40:57,KOD/2025/00019,Mangaluru East
FIR00020,CAS00020,PER00021,2026-02-12T20:40:57,BEN/2024/00020,Hubballi North
FIR00021,CAS00021,PER00022,2026-02-13T20:40:57,MYS/2025/00021,Belagavi Camp
FIR00022,CAS00022,PER00023,2026-02-14T20:40:57,DHA/2024/00022,Shivamogga Town
FIR00023,CAS00023,PER00024,2026-02-15T20:40:57,DAK/2025/00023,Udupi Town
FIR00024,CAS00024,PER00025,2026-02-16T20:40:57,BEL/2024/00024,Cubbon Park
FIR00025,CAS00025,PER00026,2026-02-17T20:40:57,SHI/2025/00025,Vijayanagar
FIR00026,CAS00026,PER00027,2026-02-18T20:40:57,KAL/2024/00026,Devaraja
FIR00027,CAS00027,PER00028,2026-02-19T20:40:57,TUM/2025/00027,Mangaluru East
FIR00028,CAS00028,PER00029,2026-02-20T20:40:57,UDU/2024/00028,Hubballi North
FIR00029,CAS00029,PER00030,2026-02-21T20:40:57,KOD/2025/00029,Belagavi Camp
FIR00030,CAS00030,PER00031,2026-02-22T20:40:57,BEN/2024/00030,Shivamogga Town
