transaction_id,account_id,transaction_datetime,amount,transaction_type
TXN000001,ACC00002,2026-07-05T19:39:57,106623.98,NEFT
TXN000002,ACC00003,2026-03-06T17:46:57,113405.19,RTGS
TXN000003,ACC00004,2026-04-18T14:42:57,34111.47,IMPS
TXN000004,ACC00005,2026-06-10T02:15:57,193728.75,Cash Withdrawal
TXN000005,ACC00006,2026-07-18T17:38:57,79436.37,ATM
TXN000006,ACC00007,2026-07-15T12:30:57,221784.53,Debit Card
TXN000007,ACC00008,2026-06-27T18:55:57,48909.09,Credit Card
TXN000008,ACC00009,2026-07-20T16:50:57,87228.36,Wallet
TXN000009,ACC00010,2026-06-18T17:15:57,112665.83,UPI
TXN000010,ACC00011,2026-06-28T11:26:57,227691.21,NEFT
TXN000011,ACC00012,2026-02-08T20:41:57,145240.05,RTGS
TXN000012,ACC00013,2026-06-21T20:43:57,35870.50,IMPS
TXN000013,ACC00014,2026-01-27T20:40:57,30375.94,Cash Withdrawal
TXN000014,ACC00015,2026-05-09T04:56:57,60227.70,ATM
TXN000015,ACC00016,2026-05-11T02:08:57,1180.73,Debit Card
TXN000016,ACC00017,2026-02-15T04:21:57,124155.08,Credit Card
TXN000017,ACC00018,2026-02-04T06:06:57,165083.64,Wallet
TXN000018,ACC00019,2026-04-30T11:36:57,201920.64,UPI
TXN000019,ACC00020,2026-04-20T18:46:57,218479.09,NEFT
TXN000020,ACC00021,2026-05-25T23:19:57,161831.63,RTGS
TXN000021,ACC00022,2026-06-23T12:44:57,22009.21,IMPS
TXN000022,ACC00023,2026-07-04T18:03:57,60595.57,Cash Withdrawal
TXN000023,ACC00024,2026-06-25T16:13:57,137552.36,ATM
TXN000024,ACC00025,2026-07-04T03:06:57,130747.61,Debit Card
TXN000025,ACC00026,2026-03-11T07:37:57,106282.91,Credit Card
TXN000026,ACC00027,2026-04-25T06:23:57,218039.15,Wallet
TXN000027,ACC00028,2026-07-18T14:08:57,227105.98,UPI
TXN000028,ACC00029,2026-02-17T04:48:57,127261.01,NEFT
TXN000029,ACC00030,2026-05-09T22:54:57,43626.66,RTGS
TXN000030,ACC00031,2026-04-24T22:20:57,66819.86,IMPS
TXN000031,ACC00032,2026-02-27T19:43:57,222762.44,Cash Withdrawal
TXN000032,ACC00033,2026-04-02T07:37:57,236264.81,ATM
TXN000033,ACC00034,2026-05-24T23:57:57,21872.03,Debit Card
TXN000034,ACC00035,2026-02-20T12:34:57,91193.81,Credit Card
TXN000035,ACC00036,2026-05-13T19:01:57,225171.78,Wallet
TXN000036,ACC00037,2026-05-26T03:56:57,173540.93,UPI
TXN000037,ACC00038,2026-04-13T10:51:57,188462.64,NEFT
TXN000038,ACC00039,2026-03-20T03:22:57,48942.31,RTGS
TXN000039,ACC00040,2026-06-20T23:07:57,69712.47,IMPS
TXN000040,ACC00041,2026-06-21T04:15:57,57520.02,Cash Withdrawal
TXN000041,ACC00042,2026-03-27T18:07:57,115454.86,ATM
TXN000042,ACC00043,2026-03-31T10:47:57,197476.71,Debit Card
TXN000043,ACC00044,2026-05-06T07:34:57,241443.07,Credit Card
TXN000044,ACC00045,2026-07-15T05:06:57,115482.90,Wallet
TXN000045,ACC00046,2026-07-18T06:11:57,1001.42,UPI
TXN000046,ACC00047,2026-02-15T11:52:57,236080.31,NEFT
TXN000047,ACC00048,2026-02-20T01:46:57,248254.67,RTGS
TXN000048,ACC00049,2026-05-26T12:11:57,24075.08,IMPS
TXN000049,ACC00050,2026-03-04T06:11:57,103314.11,Cash Withdrawal
TXN000050,ACC00051,2026-05-19T02:29:57,2182.25,ATM
TXN000051,ACC00052,2026-05-17T15:35:57,29348.96,Debit Card
TXN000052,ACC00053,2026-03-27T05:11:57,136295.76,Credit Card
TXN000053,ACC00054,2026-03-05T17:30:57,143380.04,Wallet
TXN000054,ACC00055,2026-06-29T18:46:57,232457.11,UPI
TXN000055,ACC00056,2026-04-10T00:48:57,131852.22,NEFT
TXN000056,ACC00057,2026-05-23T19:13:57,94133.24,RTGS
TXN000057,ACC00058,2026-02-06T01:16:57,235335.94,IMPS
TXN000058,ACC00059,2026-06-28T14:36:57,130851.21,Cash Withdrawal
TXN000059,ACC00060,2026-03-18T16:49:57,55970.88,ATM
TXN000060,ACC00061,2026-07-10T08:07:57,131335.94,Debit Card
TXN000061,ACC00062,2026-04-19T05:30:57,22367.88,Credit Card
TXN000062,ACC00063,2026-06-16T17:42:57,134088.87,Wallet
TXN000063,ACC00064,2026-02-27T06:39:57,66698.78,UPI
TXN000064,ACC00065,2026-04-17T06:18:57,230344.63,NEFT
TXN000065,ACC00066,2026-06-25T21:21:57,206151.20,RTGS
TXN000066,ACC00067,2026-04-19T23:35:57,35473.44,IMPS
